state,level_1,level_2,level_3,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Ceará,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"4,44804068","4,44804068","4,537001434","4,44804068","4,359079639","4,359079639","4,359079639","4,359079761","4,270118719","4,359079639","4,181157886","4,270118927","4,359079639","4,359079639","4,359079639","4,181157886","4,181157886","4,181157886","4,270118927","4,537001434","4,537001434","4,537001434","4,537001434","4,27011864","4,27011864","45,03752357","63,6313871","105,6198333","113,8027153","118,9628968","122,787938","123,8562106","123,8554734","125,3678068","125,1006745","129,5612543","129,5619907"
Ceará,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"1,95428631","2,131948792","1,954286267","2,043117413","2,220779846","1,954286267","2,043117413","2,1319487","1,954286267","1,865455212","2,043117554","1,954286359","1,865455121","2,220779803","2,043117462","2,220779761","2,576104535","2,487273425","2,664935907","3,197922931","5,063376099","5,152206543","5,241037506","6,040517322","6,12934801","6,307010675","7,461813501","7,994800061","8,172461981","8,1724617","9,682590546","11,72570918","11,45921537","11,45921537","11,45921537","11,63687817","11,63687817"
Ceará,2. Industrial,2.2 Metálicas,2.2.09 Alumínio,,,,,,,,,,,"14,19442231","14,72671371","14,63799836","14,63800272","14,46057086","14,63800262","14,72671852","14,54928595","14,81543351","14,63799868","14,99286201","14,6379998","15,17029125","15,17029489","15,08158093","36,10711754","40,80899696","42,84941635","56,95448638","56,51091159","56,42221112","56,68835742","57,75289878","59,52714001","60,23683941","61,3013817","61,1239488"
Ceará,2. Industrial,2.2 Metálicas,2.2.10 Magnésio,"0,6218743042","3,642405255","3,642405255","3,73124458","3,73124458","3,820083722","3,553567505","3,642407062","4,264282019","4,264281927","5,241515808","7,018309296","7,551345117","7,906702325","8,173219653","10,12768849","10,83840439","11,99331733","12,97055228","14,48082531","16,25761514","16,70181261","17,23485005","18,12324298","19,36699738","28,78392976","34,38082053","36,77948593","51,61558518","53,74772853","73,55888279","98,34509528","102,964765","108,2063092","113,6255299","118,4228691","118,422871"
Ceará,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,,,,,,,,,,,,,,,,,,,"4,014606421","8,742915802","11,50853022","11,3301032","12,48987695","12,40066362","20,69758095","23,82006861","27,21020474","32,65226003","41,21680705","46,92650825","57,45374103","72,53091853","88,7679098","97,3324766","104,4695938","107,2352319","107,3244462"
Ceará,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"124,4319051","138,4003814","153,4564707","169,6694264","199,2610221","211,2913027","218,9514363","226,5297318","257,9142493","299,581777","345,4888836","354,6631465","375,1748803","480,252918","499,3316474","513,6660646","526,856824","541,2871817","559,1854557","579,2211951","594,9966461","610,7774114","628,330637","648,1098379","668,9530703","689,1037508","712,5486137","810,274943","864,9754975","899,2759998","1098,563636","1249,794241","1277,532697","1306,516715","1336,033692","1368,559252","1368,823279"
Ceará,2. Industrial,2.4 Não Identificado,Não Identificado,,,,,,,,,,,,,,,,,,,,,,,"0,1784749756","2,140851855","2,051652875","2,408602765","2,408602686","3,389791504","3,47899054","3,835786322","5,26300722","9,098599939","10,16894764","10,52574309","12,66694572","15,43211456","15,69971115"
Ceará,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"172,4701162","186,3014046","194,5931722","219,3211709","223,4224088","225,6531746","226,0081098","225,7407365","226,0943538","226,8961647","236,6647497","238,1805536","238,803547","249,0106585","251,3158183","252,2058058","253,7185278","253,8050251","254,4314765","253,539074","255,7623363","255,7629186","255,6730485","263,0532406","369,5397806","456,7746922","472,5588035","480,8410322","491,7123763","497,7781687","502,6718888","526,5787923","533,9746047","538,0775863","542,1803107","545,0329022","544,6742184"
Ceará,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.01 Pedras preciosas,,,,,,,,,,,,,,,,,"0,1779256409","0,1779256409","0,08896279907","0,08896279907","0,08896279907","0,08896279907","0,4448104065","1,067544086","1,512353296","1,512353296","1,512353296","2,579894763","3,024702844","3,380550323","7,561767688","15,39044172","16,01317289","16,19109653","17,25864107","17,16967884","17,43656663"
Ceará,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.02 Rochas Ornamentais,"20,2156429","21,28449065","23,77841131","24,9362993","26,18325338","27,78655086","28,67726207","30,01312678","30,10227675","38,7425126","41,59301484","43,46343162","43,19631677","54,33048549","56,11164189","56,28977126","58,51566248","59,67340284","60,92030511","62,96791536","65,10437203","66,17262056","68,30991819","69,37791669","71,7849446","72,9424672","76,14844509","79,08776572","96,63573918","101,0904514","129,4072047","155,4140488","159,1554154","161,3816504","163,9646018","164,2329277","163,6988484"
