state,level_1,level_2,level_3,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Goiás,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"109,0486946","112,7537094","120,9335785","123,2621177","138,6750196","150,3938433","165,044206","173,5746862","231,8476134","245,1243711","250,3793246","254,9499091","256,7582269","259,6869119","266,149768","288,0431995","288,5590568","287,6106426"
Maranhão,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"128,075043","125,30439","125,3043835","136,2975854","149,8826885","207,1721777","252,8429054","263,836103","307,9875192","356,5182586","457,6913559","418,187587","455,3677948","529,7281162","559,6690052","755,7590979","669,6908763","670,4952741"
Maranhão,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"705,3195428","685,3161521","705,2301775","692,1029472","700,9436876","784,1681813","756,9295441","782,1098535","843,7236288","851,8484737","880,6912562","857,9208533","878,2814889","928,0208552","910,0719091","957,3366493","917,9560407","904,1130641"
Maranhão,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"551,9301314","565,2090499","566,0093708","597,9181023","616,0107729","643,19374","657,9851982","666,9815264","670,186885","677,0384933","678,3750397","686,0325303","688,7886932","693,2378932","702,1324525","713,2535079","719,6593099","717,7888444"
Maranhão,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"255,1115652","254,3969871","254,1290094","257,9697996","269,3134512","278,1563712","279,5857439","278,2461131","279,496694","304,4188455","357,5664044","381,5951635","417,5938925","540,3285685","640,2850968","843,3236269","1034,213606","1030,015272"
Maranhão,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"1098,830638","1199,322544","1171,325929","1264,398793","1328,637331","1379,668842","1498,383473","1513,662375","1601,67073","1649,700483","1720,172651","1762,670014","1868,905878","1947,770869","1973,398515","2041,40846","2065,583988","2071,024591"
Mato Grosso,2. Industrial,2.2 Metálicas,2.2.10 Magnésio,"30,38313467","29,2578246","27,78626583","28,82501522","28,82501937","30,21001432","29,95032612","30,38315297","34,53818071","36,52914477","39,73198176","40,42449201","38,69322906","37,30821195","38,00071337","38,34697016","37,91414468","39,03946763"
Mato Grosso,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"2252,588268","2400,992867","2519,409997","2675,927963","2770,498659","2760,247791","2868,815619","3011,90876","3150,558411","3251,879848","3347,685388","3465,0922","3531,166425","3600,479225","3692,533571","3786,440979","3847,570212","3828,687386"
Mato Grosso,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"11,06902528","11,06902528","11,06902528","11,06902528","11,15687504","11,15687504","11,15687504","11,15687504","11,15687504","11,15687504","11,15687504","11,15687504","11,24472394","11,24472394","11,59612019","11,6839691","11,6839691","11,6839691"
Mato Grosso,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"344,6736406","355,6779975","363,650941","374,2804793","383,3758755","390,3892528","408,3937342","421,9822282","434,5368128","447,6122911","453,9382891","459,3057652","471,1757837","485,5513917","502,1809841","517,5978479","530,9508948","529,5641477"
Mato Grosso,2. Industrial,2.4 Não Identificado,Não Identificado,"18,63605525","18,72273372","19,15613423","19,7628998","19,8495791","20,19629534","23,57676849","24,61691019","24,96362317","25,31033748","25,31033748","25,31033657","26,00376793","26,26380223","27,39062465","29,73095037","30,25101858","30,16433929"
Mato Grosso,1. Garimpo,1.1 Metálicas,1.1.02 Estanho,"889,1506421","909,274678","935,6652647","958,8793081","1016,427931","1037,25813","1059,14703","1093,569397","1106,102716","1112,01618","1106,632173","1117,400316","1126,050014","1132,934509","1137,612269","1138,494344","1160,02999","1145,643199"
Mato Grosso,1. Garimpo,1.1 Metálicas,1.1.01 Ouro,"38608,66793","39086,426","39176,56636","39775,96934","39994,65333","40501,90283","41235,59765","42274,76271","43794,27503","45620,89316","46823,97861","48222,97085","49666,02536","51334,63141","52787,73414","54657,52899","55947,5322","56796,02108"
Mato Grosso,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"6,85372785","7,380932849","9,050449835","9,314057837","10,45635596","10,71996129","11,42290582","10,80782937","12,38945762","12,0379845","12,56519417","12,38945662","11,77438246","11,68651392","12,56520091","13,61961665","13,88322198","13,79535367"
Mato Grosso,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.01 Pedras preciosas,"1600,03901","1665,432749","1679,718942","1673,321554","1679,893833","1682,435812","1680,5073","1679,455639","1678,929894","1678,491704","1677,00177","1675,24856","1672,706823","1673,671549","1675,512053","1675,073454","1673,670982","1669,374588"
Mato Grosso do Sul,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"236,4472759","245,5688734","250,7629084","257,6085458","267,4722024","274,0104009","283,1466661","294,2806466","299,4666796","308,0616641","311,3193121","316,7525031","330,2126569","339,4305536","348,3903262","359,0275198","370,0641304","370,0619101"
Mato Grosso do Sul,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","1,680176331","2,184242419","2,352263879","2,436274683","2,436274683","2,520285199","3,360398053"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"19056,06636","19249,29462","19374,67284","19718,51466","20589,37477","20992,88033","21438,82076","22230,74414","22826,65328","23194,77354","23493,90989","23965,15462","24307,78142","24472,43138","24734,60024","25290,06145","25627,52252","25584,64395"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"449,9205276","449,8367333","450,3397437","452,8483047","521,1540548","493,8187625","491,3854226","503,2630127","507,6989018","517,4056102","522,1772455","524,6877257","526,6116912","528,4518447","530,0407693","531,2131218","532,1358826","532,3869192"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.03 Níquel,"240,5795962","241,5001163","241,7511433","243,4248607","243,8432112","247,2736131","249,4492791","256,228488","258,488042","259,2411267","259,6595073","260,4127726","262,6725741","262,6725733","263,2583198","263,5930371","264,0114527","263,5093313"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.05 Molibidênio,"385,5386776","385,8709734","385,7048084","385,3725298","384,6248756","384,5418314","385,2063904","386,4525016","387,2832204","387,2831793","387,6985639","387,8647167","388,1970307","388,4462022","389,6922375","389,609168","389,5260799","389,2768514"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.08 Cobre,"428,4147198","431,2373119","431,0720927","446,6448812","450,8413009","459,4391052","520,8118337","619,359026","627,1722145","632,0216032","637,6460892","663,1245133","679,4207638","732,3772507","738,9617455","751,3469081","752,8794266","749,9895717"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.09 Alumínio,"5263,161852","5459,112008","5538,508722","5694,682307","5985,214468","6197,149889","6407,623302","7125,647241","7440,425351","7585,786307","7794,11632","7923,951698","8179,875355","8258,698242","8333,309391","8471,285875","8591,021194","8581,775204"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.10 Magnésio,"5,888623413","6,225115063","6,561606714","7,066341943","7,318709418","7,48695412","7,655200366","7,823446051","7,739321875","7,823444928","7,823444928","7,907568964","7,907568964","7,907568964","7,907568964","7,991692859","7,991692859","7,991692859"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.12 Níobio,"900,0336727","946,2353615","956,1841297","999,9416432","1027,258735","1099,090968","1163,2499","1282,713925","1449,473705","1473,92272","1488,592132","1500,22643","1680,635088","1743,189644","1779,187783","1817,123973","1837,611805","1834,154988"
Minas Gerais,2. Industrial,2.2 Metálicas,2.2.14 Ouro,"824,0337221","921,0219387","1005,39332","1158,293552","1264,755667","1376,023707","1468,711446","1543,46409","1604,16667","1692,039858","1915,344801","2125,683336","2160,116978","2180,908154","2204,061029","2293,567155","2399,066196","2401,67628"
Minas Gerais,2. Industrial,2.3 Não Metálicas,2.3.01 Minerais Classe 2,"3778,04329","3860,070698","3941,809867","4074,336011","4269,475974","4419,10148","4691,756701","5189,468288","5526,386977","5724,401961","5897,288169","6102,348591","6347,012352","6558,176916","6624,158573","6767,179918","6920,600203","6850,319064"
Minas Gerais,2. Industrial,2.3 Não Metálicas,2.3.03 Fósforo,"1890,365804","1923,207603","1951,333537","2021,311021","2114,784995","2149,480399","2179,71287","2217,101309","2272,845466","2326,316774","2383,829481","2424,920436","2470,643253","2500,622865","2557,042806","2630,216618","2682,758647","2676,779221"
Minas Gerais,2. Industrial,2.3 Não Metálicas,2.3.04 Gráfita,"295,5601747","313,0013633","325,2005038","338,5172031","369,9698597","383,1201444","391,6265287","411,295456","429,1673627","448,7518206","462,3194813","481,7377365","489,1273268","498,6654175","512,4141517","523,7543528","534,9271882","536,1357757"
Minas Gerais,2. Industrial,2.3 Não Metálicas,2.3.05 Silício,"13,83716438","13,83716438","14,17059747","14,08724093","15,67104984","16,42125405","16,42125405","16,83803511","17,17145646","17,17145646","17,25481602","17,25481602","17,25481602","17,33817195","17,4215303","17,4215303","17,4215303","17,17146203"
Minas Gerais,2. Industrial,2.3 Não Metálicas,2.3.06 Calcário,"3380,220497","3459,916128","3544,687013","3697,580565","3845,480903","3970,467099","4046,810394","4188,731203","4340,893708","4449,078173","4518,587511","4598,281416","4654,953243","4771,379629","4820,412015","4994,843936","5059,682307","5038,31469"
Minas Gerais,2. Industrial,2.4 Não Identificado,Não Identificado,"268,6983682","271,9813441","273,0752194","275,1828408","279,6523005","288,9272255","305,626165","318,7780994","328,9795167","335,8949803","342,9808305","347,8732571","350,235343","351,5822449","353,0117814","353,5176286","354,360624","353,2646496"
Minas Gerais,2. Industrial,2.4 Não Identificado,Não Identificado,"2275,318085","2434,373963","2537,224423","2638,55456","2758,176918","2878,358193","3047,246687","3300,470884","3392,639931","3562,141742","3693,831762","3864,961336","4253,715185","4397,07592","4747,317619","5154,317549","5364,172367","5363,819228"
Minas Gerais,1. Garimpo,1.2 Não Metálicas,1.2.01 Minerais Classe 2,"235,06346","244,073474","252,9239794","261,2714981","267,7688756","273,1813588","282,790193","294,7745425","309,9210858","318,4050642","329,4798331","336,8250765","347,7996805","360,5831134","368,9603119","374,4598288","375,8721857","375,9559375"
Minas Gerais,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.01 Pedras preciosas,"129,2926614","129,544399","129,208747","129,796116","130,1317629","130,8869715","131,2226168","131,8099868","132,0617164","132,3176344","133,8280346","134,9188975","134,9210151","136,2644756","136,9345401","137,8575672","138,023298","138,0224364"
Minas Gerais,1. Garimpo,1.3 Pedras Preciosas & Rochas Ornamentais,1.3.02 Rochas Ornamentais,"220,0340357","227,7011872","233,288965","244,211183","262,9006471","283,4634573","288,2193101","300,2735829","308,7160714","321,78837","331,4023893","340,2799633","344,4120474","346,5023434","351,0227699","355,0731121","355,9283193","355,9347725"
Pará,2. Industrial,2.2 Metálicas,2.2.01 Ferro,"4568,073743","4863,151096","4995,79266","5261,240633","5714,528769","5902,629568","6053,366468","6277,791064","6548,748415","7352,953738","7602,660225","7971,361393","8220,998372","8275,414531","8397,512903","8640,97811","8791,292477","8786,767327"
Pará,2. Industrial,2.2 Metálicas,2.2.02 Manganês,"713,9466248","755,6512846","802,5182414","888,0487777","954,9120322","1032,176319","990,6610417","1081,0809","993,0628105","1089,270165","1112,209178","1063,494138","1207,997029","1346,285648","1434,35059","1635,91152","1741,295918","1792,067777"
Pará,2. Industrial,2.2 Metálicas,2.2.03 Níquel,"207,5523554","260,5965179","302,8981783","566,9992919","674,5636809","690,1090416","705,4867009","716,4127547","734,0866275","784,7085687","855,1560902","893,0932569","901,0056167","895,9377414","872,5764447","847,5262528","848,1476919","857,2964791"
